State,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barbados,Females,  5 ,  4 ,  8 ,  11 ,  1 ,  9 ,  2 ,  6 ,  4 ,  3 ,  8 ,  2 ,  2 ,  7 ,  3 ,  3 ,
Barbados,Males,  15 ,  21 ,  18 ,  22 ,  21 ,  20 ,  33 ,  19 ,  19 ,  16 ,  23 ,  25 ,  20 ,  17 ,  22 ,  28 ,
British Virgin Islands,Females,,  0   ,  0   ,  1 ,  1 ,,  1 ,,,,,,,,,,
British Virgin Islands,Males,,  1 ,  1 ,  1 ,  3 ,,  1 ,,,,,,,,,,
Cayman Islands,Females,  1 ,  1 ,,  1 ,  1 ,  0   ,  1 ,  1 ,  0   ,  1 ,  0   ,,,  0   ,  0   ,,
Cayman Islands,Males,  3 ,  1 ,,  2 ,  4 ,  3 ,  0   ,  1 ,  4 ,  7 ,  9 ,,,  5 ,  5 ,,
Cuba,Females,  155 ,  159 ,  185 ,  153 ,  146 ,  168 ,  133 ,  139 ,  120 ,  153 ,  126 ,  132 ,  138 ,  147 ,  156 ,  139 ,  121
Cuba,Males,  432 ,  446 ,  476 ,  489 ,  514 ,  516 ,  443 ,  429 ,  395 ,  412 ,  379 ,  402 ,  483 ,  527 ,  444 ,  480 ,  451
Curaçao,Females,,  2 ,  6 ,  2 ,  7 ,  6 ,  3 ,  3 ,,,,,,,,,
Curaçao,Males,,  8 ,  33 ,  41 ,  34 ,  20 ,  15 ,  23 ,,,,,,,,,
Dominica,Females,,  1 ,  0   ,  2 ,,,,,  2 ,,  2 ,  0   ,,,,,
Dominica,Males,,  0   ,  9 ,  6 ,,,,,  5 ,,  13 ,  6 ,,,,,
Dominican Republic,Females,,,,,,  214 ,  180 ,  175 ,  187 ,  180 ,  210 ,  233 ,  201 ,,  187 ,,  170
Dominican Republic,Males,,,,,,  2180 ,  1964 ,  1936 ,  2207 ,  2195 ,  2264 ,  2280 ,  2067 ,,  1623 ,,  1446
Grenada,Females,,,,,,  3 ,  3 ,  2 ,  2 ,  3 ,  2 ,  1 ,  5 ,  2 ,  3 ,  2 ,  3
Grenada,Males,,,,,,  8 ,  9 ,  9 ,  14 ,  4 ,  8 ,  3 ,  9 ,  4 ,  5 ,  4 ,  8
Guadeloupe,Females,,,,,  9 ,  2 ,  7 ,,  8 ,  5 ,,,,,,,
Guadeloupe,Males,,,,,  17 ,  21 ,  17 ,,  24 ,  31 ,,,,,,,
Haiti,Females,,,,,,,,,,,,,  236 ,,,,
Haiti,Males,,,,,,,,,,,,,  797 ,,,,
Jamaica,Females,,,,,,  186 ,  152 ,  151 ,  165 ,  156 ,  145 ,  119 ,  127 ,  130 ,  100 ,  116 ,  135
Jamaica,Males,,,,,,  1488 ,  1188 ,  1433 ,  1454 ,  1527 ,  1302 ,  1014 ,  972 ,  1071 ,  905 ,  1092 ,  1219
Martinique,Females,,,,,,,  5 ,  5 ,  4 ,  3 ,,,,,,,
Martinique,Males,,,,,,,  18 ,  18 ,  13 ,  8 ,,,,,,,
Montserrat,Females,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,  0   ,,  0   ,,,,  1 ,,,,
Montserrat,Males,  0   ,  0   ,  0   ,  0   ,  0   ,  1 ,  1 ,,  1 ,,,,  0   ,,,,
Puerto Rico,Females,  71 ,  55 ,  59 ,  53 ,  63 ,  57 ,  41 ,  54 ,  57 ,  54 ,  62 ,  86 ,  71 ,  56 ,  45 ,  34 ,  57
Puerto Rico,Males,  624 ,  692 ,  722 ,  734 ,  734 ,  714 ,  707 ,  676 ,  758 ,  847 ,  955 ,  1078 ,  933 ,  846 ,  655 ,  585 ,  622
Saint Kitts and Nevis,Females,,  2 ,  0   ,  0   ,  0   ,,,,,  3 ,  2 ,  1 ,,,,,
Saint Kitts and Nevis,Males,,  4 ,  5 ,  10 ,  11 ,,,,,  24 ,  19 ,  33 ,,,,,
Saint Lucia,Females,  2 ,,  7 ,  2 ,  4 ,,,,,  6 ,  6 ,  7 ,  6 ,  5 ,  0   ,,
Saint Lucia,Males,  21 ,,  35 ,  34 ,  33 ,,,,,  33 ,  39 ,  39 ,  33 ,  28 ,  34 ,,
Saint Vincent and the Grenadines,Females,,,,,  6 ,  7 ,  6 ,  9 ,  3 ,  3 ,  3 ,,,,,,  4
Saint Vincent and the Grenadines,Males,,,,,  23 ,  19 ,  14 ,  31 ,  13 ,  20 ,  22 ,,,,,,  36
